20200818_03_05_06;25.37;109477.4375;43.7197265625
20200818_06_09_24;25.39;109419.851562;46.5849609375
20200818_03_15_51;25.41;109310.746094;43.7841796875
20200818_07_01_38;25.29;109990.507812;47.462890625
20200818_07_00_30;25.31;109890.0;47.4404296875
20200818_10_10_39;25.21;110422.136719;46.1806640625
20200818_04_14_08;25.41;109322.535156;44.673828125
20200818_12_19_53;25.54;108758.664062;44.2900390625
20200818_07_23_49;25.33;109817.972656;47.634765625
20200818_04_47_37;25.37;109530.507812;45.3671875
20200818_08_02_56;25.33;109816.449219;47.7314453125
20200818_02_29_55;25.27;109986.597656;43.0732421875
20200818_03_48_37;25.45;109107.671875;44.4501953125
20200818_07_33_39;25.33;109801.699219;47.6240234375
20200818_03_03_11;25.4;109339.585938;43.5908203125
20200818_06_11_51;25.38;109500.371094;46.642578125
20200818_05_24_45;25.38;109466.347656;45.921875
20200818_12_14_27;25.55;108743.070312;44.423828125
20200818_12_01_15;25.57;108643.425781;44.4853515625
20200818_06_49_47;25.3;109932.425781;47.2236328125
20200818_10_59_30;25.35;109760.589844;45.11328125
20200818_13_26_47;25.84;107247.691406;42.88671875
20200818_13_21_47;25.84;107256.496094;42.7900390625
20200818_11_59_39;25.59;108535.804688;44.416015625
20200818_09_31_41;24.99;111527.917969;47.478515625
20200818_02_05_57;24.36;114430.46875;44.3056640625
20200818_04_35_36;25.39;109402.167969;45.130859375
20200818_06_46_33;25.3;109929.476562;47.03125
20200818_04_29_48;25.41;109325.484375;44.951171875
20200818_06_45_52;25.31;109856.050781;46.9970703125
20200818_04_09_47;25.42;109251.699219;44.748046875
20200818_11_36_01;25.48;109094.335938;44.705078125
20200818_12_12_53;25.56;108674.703125;44.4375
20200818_20_07_07;25.16;110607.183594;44.806640625
20200818_06_21_52;25.35;109624.3125;46.6640625
20200818_12_32_16;25.57;108598.371094;44.1494140625
20200818_09_10_14;24.4;114335.394531;47.2373046875
20200818_03_15_40;25.42;109228.121094;43.857421875
20200818_09_22_48;24.91;111884.175781;47.748046875
20200818_11_05_40;25.38;109615.351562;45.03125
20200818_05_36_35;25.38;109491.527344;46.1015625
20200818_08_18_36;25.3;109976.125;47.77734375
20200818_12_44_54;25.67;108123.246094;43.701171875
20200818_03_31_27;25.43;109209.71875;44.07421875
20200818_09_23_40;24.92;111829.835938;47.736328125
20200818_07_51_15;25.33;109835.671875;47.70703125
20200818_20_44_10;23.91;116606.914062;48.5517578125
20200818_22_10_43;25.02;111294.09375;46.7509765625
20200818_07_55_52;25.35;109739.949219;47.7333984375
20200818_12_58_28;25.74;107756.574219;43.41796875
20200818_12_28_35;25.53;108802.554688;44.27734375
20200818_11_49_10;25.49;109069.972656;44.6328125
20200818_06_32_40;25.32;109789.070312;46.830078125
20200818_04_27_00;25.39;109427.359375;44.888671875
20200818_04_45_42;25.38;109475.191406;45.212890625
20200818_06_07_29;25.4;109395.59375;46.537109375
20200818_11_16_09;25.4;109510.550781;44.9619140625
20200818_08_47_02;25.42;109360.734375;47.59765625
20200818_11_22_57;25.38;109581.324219;44.9365234375
20200818_07_14_32;25.29;110014.113281;47.8349609375
20200818_04_09_26;25.43;109224.457031;44.736328125
20200818_10_54_55;25.34;109791.632812;45.2802734375
20200818_09_57_23;25.14;110781.855469;46.546875
20200818_08_49_08;25.53;108814.328125;49.0029296875
20200818_03_24_56;25.46;109076.519531;43.9208984375
20200818_04_57_34;25.35;109624.3125;45.5341796875
20200818_20_42_36;23.93;116519.683594;48.3017578125
20200818_09_16_28;24.81;112404.640625;47.916015625
20200818_10_13_37;25.22;110384.867188;46.05078125
20200818_02_37_30;25.41;109307.800781;42.65234375
20200818_05_48_26;25.33;109747.183594;46.4453125
20200818_10_03_50;25.16;110683.992188;46.404296875
20200818_07_40_00;25.28;110059.839844;47.833984375
20200818_09_56_51;25.13;110854.734375;46.6044921875
20200818_05_43_18;25.37;109518.714844;46.28125
20200818_07_51_51;25.33;109807.597656;47.6953125
20200818_07_23_07;25.33;109781.054688;47.6357421875
20200818_20_10_47;24.96;111590.53125;45.41015625
20200818_10_22_49;25.22;110378.960938;45.6298828125
20200818_07_20_46;25.33;109806.175781;47.6826171875
20200818_02_17_40;24.86;112012.453125;43.6708984375
20200818_05_43_49;25.39;109442.097656;46.259765625
20200818_09_21_55;24.88;112029.292969;47.732421875
